model,freeze_blocks,best_train_acc,best_test_acc,final_train_acc,final_test_acc
i3d,0,100.0,97.08333333333334,100.0,96.52777777777777
i3d,1,100.0,95.97222222222223,100.0,95.41666666666667
i3d,2,99.9047619047619,97.91666666666666,100.0,96.38888888888889
i3d,3,100.0,96.52777777777777,100.0,96.11111111111111
i3d,4,100.0,96.38888888888889,99.97619047619048,95.55555555555556
i3d,5,100.0,94.58333333333334,100.0,92.77777777777777
x3d,0,42.595238095238095,36.388888888888886,43.666666666666664,33.75
x3d,1,12.404761904761905,14.027777777777777,13.595238095238095,11.25
x3d,2,11.261904761904763,11.11111111111111,12.238095238095237,11.25
x3d,3,13.571428571428573,11.805555555555555,14.38095238095238,12.083333333333332
x3d,4,33.642857142857146,29.444444444444443,34.04761904761905,29.305555555555557
x3d,5,11.952380952380953,11.11111111111111,11.88095238095238,11.11111111111111
